sg	Sài Gòn
acc	account
a	anh
ace	anh chị em
ae	anh em
any	anh người yêu
atrai	anh trai
aye	anh yêu em
3	ba
3*	ba sao
beamin	baemin
baoh	bao giờ
bnhiu	bao nhiêu
bnhiêu	bao nhiêu
bnhieu	bao nhiêu
pjt	biết
bik	biết
biet	biết
biêt	biết
bjt	biết
bos	boss
buger	burger
buôg	buông
bsvv	buổi sáng vui vẻ
bsĩ	bác sĩ
bjo	bây giờ
bâyh	bây giờ
bh	bây giờ
bìh	bình
bthường	bình thường
bth	bình thường
bthg	bình thường
bóg	bóng
pn	bạn
bn	bạn
bbè	bạn bè
bgái	bạn gái
btrai	bạn trai
b oi	bạn ơi
7	bảy
bằg	bằng
bme	bố mẹ
4	bốn
4*	bốn sao
bụg	bụng
keke	ce ce
cka	cha
chạh	chanh
chug	chung
chuện	chuyện
cbị	chuẩn bị
chàg	chàng
9	chín
note	chú ý
chúg	chúng
cmày	chúng mày
cta	chúng ta
chta	chúng ta
chăg	chăng
ctrinh	chương trình
ctrình	chương trình
ctr	chương trình
chs	chẳng hiểu sao
c	chị
cj	chị
ce	chị em
terrable	chịu đựng
ck	chồng
chk	chồng
cmnd	chứng minh nhân dân
cmt	comment
cgai	con gái
cgái	con gái
cmm	con mẹ mày
cmn	con mẹ nó
cmnr	con mẹ nó rồi
ctrai	con trai
ctraj	con trai
ku	cu
csống	cuộc sống
csong	cuộc sống
cđời	cuộc đời
cf	cà phê
cafe	cà phê
càg	càng
kái	cái
clmm	cái lồn mẹ mày
kòn	còn
cty	công ty
ctác	công tác
cviec	công việc
cùg	cùng
kũg	cũng
cx	cũng
cũg	cũng
cũng z	cũng vậy
hihe	cười
hahah	cười
ho ho	cười
hoho	cười
hôhô	cười
hịhi	cười
hehe	cười
heheheh	cười
hehehe	cười
haha	cười
hâhahah	cười
kảm	cảm
kậu	cậu
kủa	của
cuả	của
dàh	dành
zám	dám
dòg	dòng
zô	dô
dứoi	dưới
dzậy	dậy
dthương	dễ thương
dỡ	dở
dừg	dừng
zữ	dữ
e	em
eya	em yêu anh
fb	facebook
face	facebook
facebok	facebook
fody	foody
fom	form
phom	form
freze	freeze
fen	friend
ful	full
gđình	gia đinh
gđ	gia đình
zà	già
giá cả sinh viên	giá rẻ
giá sinh viên	giá rẻ
dòn	giòn
zòn	giòn
zdòn	giòn
júp	giúp
giốg	giống
giọg	giống
jo	giờ
gogle	google
grentea	green tea
rì	gì
j	gì
ji	gì
gắg	gắng
hajz	hai
hajzz	hai
haj	hai
2	hai
2*	hai sao
haz	hazz
hiha	hi ha
hjhj	hi hi
hjx	hix
hjxhjx	hix hix
hixhix	hix hix
hanoi	hà nội
hàg	hàng
hđộng	hành động
hêhê	hê hê
hìhì	hì hì
hìh	hình
hixxx	hích
hic	hích
bil	hóa đơn
bill	hóa đơn
hnay	hôm nay
hqua	hôm qua
htrc	hôm trước
hphúc	hạnh phúc
họk	học
hkì	học kỳ
hsơ	hồ sơ
hong kong	hồng kông
ib	inbox
in4	info
insta	instagram
kk	kaka
kakaka	kaka
kakak	kaka
kkk	kaka
khoảg	khoảng
ks	khách sạn
khôg	không
hôg	không
hok	không
ko	không
k	không
kô	không
khg	không
kg	không
kog	không
k bjo	không bao giờ
klq	không liên quan
hông_may_mắn	không may mắn
ksao	không sao
khủg	khủng
kih	kinh
kte	kinh tế
ktra	kiểm tra
check	kiểm tra
kỉu	kiểu
cute	kute
cute phô mai que	kute
kêh	kênh
kb	kết bạn
kqua	kết quả
ltinh	linh tinh
llac	liên lạc
lmht	liên minh huyền thoại
lquan	liên quan
lm	làm
lzi	làm gì
lz	làm gì
lgi	làm gì
lquen	làm quen
lòg	lòng
lúk	lúc
lạh	lạnh
lặg	lặng
loz	lồn
lozz	lồn
my fen	my friend
mih	mình
mìnk	mình
mjh	mình
mk	mình
mik	mình
10	mười
mặp	mập
mng	mọi người
mn	mọi người
mọi ng	mọi người
